           sample     id                                                                      file    MSA        disp   pointing  ext  redshift  alias                                                                                                  file_path
31    CEERs_DR0.7      9        hlsp_ceers_jwst_nirspec_nirspec5-000009_prism_v0.7_x1d-masked.fits      9       prism   nirspec5  x1d  9.405909    NaN              CEERs_DR0.7/nirspec5/prism/hlsp_ceers_jwst_nirspec_nirspec5-000009_prism_v0.7_x1d-masked.fits
32    CEERs_DR0.7     20          hlsp_ceers_jwst_nirspec_nirspec4-000020_comb-mgrat_v0.7_s2d.fits     20  comb-mgrat   nirspec4  s2d  7.802760    NaN           CEERs_DR0.7/nirspec4/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec4-000020_comb-mgrat_v0.7_s2d.fits
33    CEERs_DR0.7     20   hlsp_ceers_jwst_nirspec_nirspec4-000020_comb-mgrat_v0.7_x1d-masked.fits     20  comb-mgrat   nirspec4  x1d  7.802760    NaN    CEERs_DR0.7/nirspec4/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec4-000020_comb-mgrat_v0.7_x1d-masked.fits
34    CEERs_DR0.7     20               hlsp_ceers_jwst_nirspec_nirspec4-000020_g140m_v0.7_s2d.fits     20       g140m   nirspec4  s2d  7.802760    NaN                     CEERs_DR0.7/nirspec4/g140m/hlsp_ceers_jwst_nirspec_nirspec4-000020_g140m_v0.7_s2d.fits
35    CEERs_DR0.7     20        hlsp_ceers_jwst_nirspec_nirspec4-000020_g140m_v0.7_x1d-masked.fits     20       g140m   nirspec4  x1d  7.802760    NaN              CEERs_DR0.7/nirspec4/g140m/hlsp_ceers_jwst_nirspec_nirspec4-000020_g140m_v0.7_x1d-masked.fits
36    CEERs_DR0.7     20               hlsp_ceers_jwst_nirspec_nirspec4-000020_g235m_v0.7_s2d.fits     20       g235m   nirspec4  s2d  7.802760    NaN                     CEERs_DR0.7/nirspec4/g235m/hlsp_ceers_jwst_nirspec_nirspec4-000020_g235m_v0.7_s2d.fits
37    CEERs_DR0.7     20        hlsp_ceers_jwst_nirspec_nirspec4-000020_g235m_v0.7_x1d-masked.fits     20       g235m   nirspec4  x1d  7.802760    NaN              CEERs_DR0.7/nirspec4/g235m/hlsp_ceers_jwst_nirspec_nirspec4-000020_g235m_v0.7_x1d-masked.fits
38    CEERs_DR0.7     20               hlsp_ceers_jwst_nirspec_nirspec4-000020_g395m_v0.7_s2d.fits     20       g395m   nirspec4  s2d  7.802760    NaN                     CEERs_DR0.7/nirspec4/g395m/hlsp_ceers_jwst_nirspec_nirspec4-000020_g395m_v0.7_s2d.fits
39    CEERs_DR0.7     20        hlsp_ceers_jwst_nirspec_nirspec4-000020_g395m_v0.7_x1d-masked.fits     20       g395m   nirspec4  x1d  7.802760    NaN              CEERs_DR0.7/nirspec4/g395m/hlsp_ceers_jwst_nirspec_nirspec4-000020_g395m_v0.7_x1d-masked.fits
40    CEERs_DR0.7     20               hlsp_ceers_jwst_nirspec_nirspec4-000020_prism_v0.7_s2d.fits     20       prism   nirspec4  s2d  7.802760    NaN                     CEERs_DR0.7/nirspec4/prism/hlsp_ceers_jwst_nirspec_nirspec4-000020_prism_v0.7_s2d.fits
41    CEERs_DR0.7     20        hlsp_ceers_jwst_nirspec_nirspec4-000020_prism_v0.7_x1d-masked.fits     20       prism   nirspec4  x1d  7.802760    NaN              CEERs_DR0.7/nirspec4/prism/hlsp_ceers_jwst_nirspec_nirspec4-000020_prism_v0.7_x1d-masked.fits
42    CEERs_DR0.7     21         hlsp_ceers_jwst_nirspec_nirspec10-000021_comb-mgrat_v0.7_s2d.fits     21  comb-mgrat  nirspec10  s2d       NaN    NaN         CEERs_DR0.7/nirspec10/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec10-000021_comb-mgrat_v0.7_s2d.fits
43    CEERs_DR0.7     21  hlsp_ceers_jwst_nirspec_nirspec10-000021_comb-mgrat_v0.7_x1d-masked.fits     21  comb-mgrat  nirspec10  x1d       NaN    NaN  CEERs_DR0.7/nirspec10/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec10-000021_comb-mgrat_v0.7_x1d-masked.fits
44    CEERs_DR0.7     21              hlsp_ceers_jwst_nirspec_nirspec10-000021_g140m_v0.7_s2d.fits     21       g140m  nirspec10  s2d       NaN    NaN                   CEERs_DR0.7/nirspec10/g140m/hlsp_ceers_jwst_nirspec_nirspec10-000021_g140m_v0.7_s2d.fits
45    CEERs_DR0.7     21       hlsp_ceers_jwst_nirspec_nirspec10-000021_g140m_v0.7_x1d-masked.fits     21       g140m  nirspec10  x1d       NaN    NaN            CEERs_DR0.7/nirspec10/g140m/hlsp_ceers_jwst_nirspec_nirspec10-000021_g140m_v0.7_x1d-masked.fits
46    CEERs_DR0.7     21              hlsp_ceers_jwst_nirspec_nirspec10-000021_g235m_v0.7_s2d.fits     21       g235m  nirspec10  s2d       NaN    NaN                   CEERs_DR0.7/nirspec10/g235m/hlsp_ceers_jwst_nirspec_nirspec10-000021_g235m_v0.7_s2d.fits
47    CEERs_DR0.7     21       hlsp_ceers_jwst_nirspec_nirspec10-000021_g235m_v0.7_x1d-masked.fits     21       g235m  nirspec10  x1d       NaN    NaN            CEERs_DR0.7/nirspec10/g235m/hlsp_ceers_jwst_nirspec_nirspec10-000021_g235m_v0.7_x1d-masked.fits
48    CEERs_DR0.7     21              hlsp_ceers_jwst_nirspec_nirspec10-000021_g395m_v0.7_s2d.fits     21       g395m  nirspec10  s2d       NaN    NaN                   CEERs_DR0.7/nirspec10/g395m/hlsp_ceers_jwst_nirspec_nirspec10-000021_g395m_v0.7_s2d.fits
49    CEERs_DR0.7     21       hlsp_ceers_jwst_nirspec_nirspec10-000021_g395m_v0.7_x1d-masked.fits     21       g395m  nirspec10  x1d       NaN    NaN            CEERs_DR0.7/nirspec10/g395m/hlsp_ceers_jwst_nirspec_nirspec10-000021_g395m_v0.7_x1d-masked.fits
50    CEERs_DR0.7     22          hlsp_ceers_jwst_nirspec_nirspec4-000022_comb-mgrat_v0.7_s2d.fits     22  comb-mgrat   nirspec4  s2d       NaN    NaN           CEERs_DR0.7/nirspec4/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec4-000022_comb-mgrat_v0.7_s2d.fits
